Settlement,SocioeconomicCluster,PercentTechStudents,PercentTeachersMasters,PercentHighSchoolTeachersMasters,PercentRegionalAccommodations,PercentInstitutionalAccommodations,PersistenceRate,DropoutRate,PercentShakdQuestionnaires,PercentBagrutEligible,PercentBagrutEligibleRegular,PercentExcellentBagrut,PercentOutstandingBagrutRegular,Percent4UnitsEnglish,Percent4UnitsEnglishRegular,Percent5UnitsEnglish,Percent5UnitsEnglishRegular,Percent4UnitsMath,Percent4UnitsMathRegular,Percent5UnitsMath,Percent5UnitsMathRegular,AvgClassSizeHighSchool,Year,HighSchoolStudentsPerHighClass,TechClassRatio,GiftedClassRatio,StudentsPerResidentRatio,HighSchoolCoverageRatio,HilaStudentRatio,TeacherStudentRatio,StudentPerClass,StudentPerSchool,OutstandingToTotal,DropoutToPersistenceRatio,5UnitsIndex,DropoutRiskScore,SchoolExcellentScore,5UnitsIndexRegular,SchoolExcellentScoreRegular,4UnitsIndex,4UnitsIndexRegular,CrimeRate
ג'לג'וליה,2,0.532163743,0.345991561,0.380952381,0.158823529,0.3,0.8769,0.007782101,0.184615385,0.632,0.629,0.023,0.024,0.304,0.306,0.31,0.306,0.164,0.165,0.17,0.171,32.0625,2019,35.9375,0.25,0.0,0.2239166821647759,0.2,0.0008305647840531562,0.09842192691029901,24.565217391304348,452.0,0.03639240506329114,0.00887455924278709,0.24,0.008667056752212389,0.16766666666666666,0.2385,0.167,0.23399999999999999,0.2355,0.05467056272975775
ג'ת,4,0.903323263,0.408653846,0.476190476,0.221052632,0.326315789,0.8756,0.00149925,0.046153846,0.707,0.707,0.22,0.22,0.346,0.346,0.351,0.351,0.23,0.23,0.194,0.194,28.7826087,2019,31.130434782608695,0.13043478260869565,0.0,0.20758324040146567,0.16666666666666666,0.0015349194167306216,0.07981580966999233,28.27956989247312,438.3333333333333,0.3111739745403112,0.0017122544540886249,0.27249999999999996,0.003020162547528517,0.25499999999999995,0.27249999999999996,0.25499999999999995,0.288,0.288,0.029102412020561488
גבעת שמואל,8,0.452606635,0.391509434,0.528169014,0.350253807,0.21319797,0.5739,0.0,0.0,0.965,0.964,0.394,0.396,0.167,0.162,0.793,0.797,0.379,0.376,0.419,0.421,30.14285714,2019,41.714285714285715,0.0,0.0,0.19278328908760653,0.375,0.0003623844899438304,0.07682551186809204,29.44848484848485,607.375,0.4082901554404145,0.0,0.606,0.00041160732661041366,0.5353333333333333,0.609,0.5379999999999999,0.273,0.269,0.018900462164585775
גבעתיים,8,0.2,0.466767372,0.513409962,0.320422535,0.188380282,0.8996,0.007318952,0.0,0.938,0.979,0.221,0.245,0.113,0.104,0.777,0.843,0.293,0.321,0.277,0.305,31.79220779,2019,23.880597014925375,0.029850746268656716,0.0,0.13345970592755776,0.35714285714285715,0.0008957133717210493,0.08470889315419065,29.04642857142857,580.9285714285714,0.2356076759061834,0.008135784793241441,0.527,0.008179643011926719,0.42500000000000004,0.574,0.46433333333333326,0.20299999999999999,0.2125,0.02536980815192817
גדרה,7,0.357561547,0.45409015,0.523012552,0.289256198,0.30785124,0.8977,0.004967855,0.006872852,0.861,0.913,0.161,0.174,0.272,0.286,0.546,0.598,0.263,0.288,0.207,0.228,29.05,2019,20.485294117647058,0.04411764705882353,0.0,0.20925533648362393,0.42857142857142855,0.000778694907335306,0.09328764989876966,26.987755102040815,472.2857142857143,0.1869918699186992,0.005533981285507408,0.3765,0.005724055846944949,0.3046666666666667,0.413,0.3333333333333333,0.2675,0.287,0.01994401679496151
גן יבנה,7,0.71441048,0.45,0.433333333,0.297222222,0.380555556,0.9122,0.004170142,0.0,0.88,0.886,0.107,0.111,0.187,0.181,0.647,0.674,0.206,0.214,0.219,0.228,27.42857143,2019,34.095238095238095,0.07142857142857142,0.0,0.2329914599763004,0.25,0.00017537706068046299,0.07015082427218519,27.9774011299435,619.0,0.12159090909090908,0.004571521596141197,0.433,0.004372080610662359,0.3243333333333333,0.451,0.3376666666666667,0.1965,0.1975,0.03381622853422316
גני תקווה,8,0.29675425,0.425373134,0.481012658,0.327272727,0.242424242,0.6667,0.0,0.0,0.917,0.921,0.202,0.207,0.155,0.146,0.75,0.762,0.31,0.317,0.393,0.402,28.08333333,2019,38.56521739130435,0.08695652173913043,0.0,0.1647072888853465,0.2,0.0014517299782240503,0.06484393902734091,29.689922480620154,383.0,0.2202835332606325,0.0,0.5715,0.001566579634464752,0.4483333333333333,0.5820000000000001,0.4570000000000001,0.23249999999999998,0.23149999999999998,0.01594349995770955
דבוריה,3,0.509404389,0.458128079,0.586206897,0.217171717,0.242424242,0.8929,0.002419355,0.114754098,0.643,0.643,0.106,0.107,0.271,0.276,0.327,0.321,0.211,0.209,0.151,0.148,29.0,2019,30.954545454545453,0.13636363636363635,0.0,0.2311943793911007,0.25,0.007293354943273906,0.08225283630470016,27.15909090909091,597.5,0.16485225505443235,0.002709547541717998,0.239,0.009950735753138075,0.19466666666666665,0.2345,0.19199999999999998,0.241,0.2425,0.04136275505493491
דימונה,4,0.428654292,0.423802612,0.457746479,0.219152855,0.198895028,0.9006,0.013525699,0.025510204,0.709,0.743,0.024,0.026,0.265,0.279,0.359,0.377,0.186,0.197,0.084,0.088,22.67105263,2019,20.294871794871796,0.08974358974358974,0.0,0.16974254397145042,0.4166666666666667,0.0051058717525153926,0.1034689893377384,24.25089605734767,281.9166666666667,0.03385049365303244,0.015018542083055742,0.2215,0.018550824628140703,0.15566666666666668,0.23249999999999998,0.16366666666666665,0.2255,0.23800000000000002,0.06955623232542962
הוד השרון,8,0.26600074,0.467360454,0.575221239,0.422924901,0.238471673,0.8897,0.006739049,0.0,0.859,0.897,0.163,0.169,0.091,0.098,0.722,0.764,0.261,0.28,0.278,0.294,28.06315789,2019,25.07766990291262,0.02912621359223301,0.02912621359223301,0.18194607985564204,0.20833333333333334,0.0015969070432005378,0.0888384602454194,28.67874396135266,494.7083333333333,0.18975552968568105,0.007574518376981005,0.5,0.008339318519076898,0.38766666666666666,0.529,0.40900000000000003,0.176,0.189,0.02257140244460024
